ID,NET,Instances,Scenarios,W,b,pulse,total,OF
282,DC,DC8,200,42413,35966,0.015501203,0.411316524,181
283,DC,DC8,200,42513,26346,0.005653233,0.401468554,84
284,DC,DC8,200,42513,36046,0.011011106,0.406826427,188
285,DC,DC8,500,45996,28088,0.050720971,1.110699823,203
286,DC,DC8,500,45996,38832,0.075368168,1.13534702,472
287,DC,DC8,500,46202,28191,0.033966188,1.09394504,238
288,DC,DC8,500,46202,38997,0.072556568,1.13253542,477
289,DC,DC8,500,46408,28294,0.025096415,1.085075267,270
290,DC,DC8,500,46408,39162,0.041765993,1.101744845,490
291,DC,DC8,1000,49137,29658,0.205201569,2.988279167,448
292,DC,DC8,1000,49137,41345,0.328062435,3.111140033,942
293,DC,DC8,1000,52350,31265,0.308045227,3.091122825,713
294,DC,DC8,1000,52350,43916,0.764548009,3.547625607,985
295,DC,DC8,1000,55563,32871,0.100141639,2.883219237,808
296,DC,DC8,1000,55563,46486,0.354345454,3.137423052,997
297,DC,DC9,1,1,2.66E-05,0.010825398,1,1
298,DC,DC9,10,14334,8446,3.91E-05,0.022448104,3
299,DC,DC9,10,14334,11978,2.75E-05,0.022436509,9
300,DC,DC9,10,14334,8446,3.21E-05,0.02244105,3
301,DC,DC9,10,14334,11978,2.35E-05,0.02243246,9
302,DC,DC9,10,14334,8446,3.22E-05,0.02244119,3
303,DC,DC9,10,14334,11978,2.49E-05,0.022433857,9
304,DC,DC9,50,14334,8012,4.73E-05,0.098130418,24
305,DC,DC9,50,14334,11805,3.32E-05,0.098116311,45
306,DC,DC9,50,14334,8012,3.93E-05,0.098122386,24
307,DC,DC9,50,14334,11805,3.86E-05,0.098121688,45
308,DC,DC9,50,14334,8012,4.00E-05,0.098123156,24
309,DC,DC9,50,14334,11805,4.37E-05,0.098126787,45
310,DC,DC9,100,14334,7927,5.90E-05,0.20271473,51
311,DC,DC9,100,14334,11771,4.41E-05,0.202699784,92
312,DC,DC9,100,14334,7927,4.74E-05,0.202703137,51
313,DC,DC9,100,14334,11771,4.34E-05,0.202699086,92
314,DC,DC9,100,14334,7927,4.15E-05,0.2026972,51
315,DC,DC9,100,14334,11771,3.99E-05,0.202695594,92
316,DC,DC9,200,14334,7927,8.63E-05,0.392201662,103
317,DC,DC9,200,14334,11771,5.19E-05,0.392167299,185
318,DC,DC9,200,14334,7927,5.92E-05,0.392174634,103
319,DC,DC9,200,14334,11771,5.04E-05,0.392165763,185
320,DC,DC9,200,14334,7927,5.85E-05,0.392173935,103
321,DC,DC9,200,14334,11771,5.07E-05,0.392166113,185
322,DC,DC9,500,16988,9254,1.26E-04,1.192305866,352
323,DC,DC9,500,16988,13894,1.26E-04,1.192305727,491
324,DC,DC9,500,16988,9254,9.94E-05,1.192279536,352
325,DC,DC9,500,16988,13894,1.10E-04,1.192289943,491
326,DC,DC9,500,16988,9254,9.44E-05,1.192274508,352
327,DC,DC9,500,16988,13894,1.10E-04,1.192290432,491
328,DC,DC9,1000,20840,11180,3.26E-04,2.736661922,867
329,DC,DC9,1000,20840,16976,2.42E-04,2.736577764,995
330,DC,DC9,1000,20840,11180,2.64E-04,2.736600043,867
331,DC,DC9,1000,20840,16976,2.43E-04,2.736578602,995
332,DC,DC9,1000,20840,11180,2.61E-04,2.736597529,867
333,DC,DC9,1000,20840,16976,2.49E-04,2.736585377,995
334,DC,DC10,1,1,6.67E-05,0.009132934,1,1
335,DC,DC10,10,35507,26285,1.25E-04,0.017551044,3
336,DC,DC10,10,35507,31818,2.13E-04,0.017638974,6
337,DC,DC10,10,37584,27324,1.35E-04,0.01756138,4
338,DC,DC10,10,37584,33480,2.72E-04,0.017697919,8
339,DC,DC10,10,39662,28363,2.44E-04,0.017669564,5
340,DC,DC10,10,39662,35142,2.03E-04,0.017628497,9
341,DC,DC10,50,42034,29549,5.94E-04,0.085574774,19
342,DC,DC10,50,42034,37040,9.59E-04,0.085939694,40
343,DC,DC10,50,43789,30426,8.23E-04,0.085803644,22
344,DC,DC10,50,43789,38444,0.001554248,0.086535301,43
345,DC,DC10,50,45544,31304,6.85E-04,0.085665986,31
346,DC,DC10,50,45544,39848,0.00131539,0.086296443,47
347,DC,DC10,100,43950,30446,0.0010076,0.192900774,48
348,DC,DC10,100,43950,38548,0.001330965,0.193224139,91
349,DC,DC10,100,44747,30845,0.001067174,0.192960348,52
350,DC,DC10,100,44747,39186,0.001621993,0.193515167,92
351,DC,DC10,100,45544,31243,8.15E-04,0.192708152,64
352,DC,DC10,100,45544,39823,0.001146515,0.193039689,96
353,DC,DC10,200,45544,30741,8.44E-04,0.429102161,122
354,DC,DC10,200,45544,39622,0.001595315,0.429853515,192
355,DC,DC10,200,45544,30741,7.77E-04,0.429035114,122
356,DC,DC10,200,45544,39622,0.001537347,0.429795547,192
357,DC,DC10,200,45544,30741,7.85E-04,0.429043634,122
358,DC,DC10,200,45544,39622,0.001476445,0.429734645,192
359,DC,DC10,500,45544,30036,0.001559835,1.256254496,286
360,DC,DC10,500,45544,39340,0.00271061,1.257405271,481
361,DC,DC10,500,45544,30036,0.001402343,1.256097004,286
362,DC,DC10,500,45544,39340,0.002574349,1.25726901,481
363,DC,DC10,500,45544,30036,0.001392636,1.256087297,286
364,DC,DC10,500,45544,39340,0.003393657,1.258088318,481
365,DC,DC10,1000,47804,31166,0.003098019,2.793288392,657
366,DC,DC10,1000,47804,41148,0.005924985,2.796115358,978
367,DC,DC10,1000,47804,31166,0.002671988,2.792862361,657
368,DC,DC10,1000,47804,41148,0.007597264,2.797787637,978
369,DC,DC10,1000,47804,31166,0.002701671,2.792892044,657
370,DC,DC10,1000,47804,41148,0.005649043,2.795839416,978
371,DC,DC11,1,1,6.11E-05,0.013807203,1,1
372,DC,DC11,10,42983,30348,0.002865378,0.020304396,0
373,DC,DC11,10,42983,37929,0.002675968,0.020114986,4
374,DC,DC11,10,46138,31926,0.00386781,0.021306828,3
375,DC,DC11,10,46138,40453,0.006427981,0.023866999,8
376,DC,DC11,10,49294,33504,0.001251485,0.018690503,5
377,DC,DC11,10,49294,42978,0.004634388,0.022073406,9
378,DC,DC11,50,47531,32622,0.00423727,0.094862964,7
379,DC,DC11,50,47531,41567,0.004223022,0.094848716,33
380,DC,DC11,50,48412,33063,0.003122184,0.093747878,14
381,DC,DC11,50,48412,42272,0.002878928,0.093504622,43
382,DC,DC11,50,49294,33504,0.002484883,0.093110577,18
383,DC,DC11,50,49294,42978,0.002725696,0.09335139,45
384,DC,DC11,100,50025,33869,0.014535786,0.200940064,26
385,DC,DC11,100,50025,43562,0.015399933,0.201804211,83
386,DC,DC11,100,52455,35084,0.035847573,0.222251851,39
387,DC,DC11,100,52455,45506,0.040835358,0.227239636,92
388,DC,DC11,100,54886,36300,0.015349367,0.201753645,53
389,DC,DC11,100,54886,47451,0.02424938,0.210653658,97
390,DC,DC11,200,52479,34342,0.05516574,0.412432027,50
391,DC,DC11,200,52479,45224,0.065342592,0.422608879,167
392,DC,DC11,200,55123,35664,0.032325547,0.389591834,89
393,DC,DC11,200,55123,47339,0.10063388,0.457900167,188
394,DC,DC11,200,57768,36986,0.027890836,0.385157123,112
395,DC,DC11,200,57768,49455,0.112282986,0.469549273,195
396,DC,DC11,500,56382,36293,0.309221773,1.441597746,134
397,DC,DC11,500,56382,48346,0.373451794,1.505827767,456
398,DC,DC11,500,57432,36818,0.390881942,1.523257915,172
399,DC,DC11,500,57432,49186,0.55316849,1.685544463,469
400,DC,DC11,500,58482,37343,0.044886781,1.177262754,307
401,DC,DC11,500,58482,50026,0.302551092,1.434927065,487
402,DC,DC11,1000,58432,37318,0.690779694,3.335613675,274
403,DC,DC11,1000,58432,49986,0.732806125,3.377640106,925
404,DC,DC11,1000,61429,38817,1.355991404,4.000825385,580
405,DC,DC11,1000,61429,52384,2.180987667,4.825821648,987
406,DC,DC11,1000,64427,40316,0.130429147,2.775263128,783
407,DC,DC11,1000,64427,54782,1.237937643,3.882771624,995
408,DC,DC12,1,1,3.72E-05,0.010831334,1,1
409,DC,DC12,10,18960,13527,9.14E-05,0.02140761,2
410,DC,DC12,10,18960,16786,7.88E-05,0.021394969,6
411,DC,DC12,10,23869,15981,1.13E-04,0.021429679,6
412,DC,DC12,10,23869,20714,1.52E-04,0.02146865,10
413,DC,DC12,10,28779,18436,9.83E-05,0.021414454,9
414,DC,DC12,10,28779,24642,3.47E-05,0.021350898,10
415,DC,DC12,50,23643,14659,1.37E-04,0.085893319,15
416,DC,DC12,50,23643,20049,1.31E-04,0.085886963,40
417,DC,DC12,50,26211,15943,1.75E-04,0.085931312,25
418,DC,DC12,50,26211,22104,2.63E-04,0.086019801,46
419,DC,DC12,50,28779,17227,3.41E-04,0.086097115,44
420,DC,DC12,50,28779,24158,2.17E-04,0.085972868,50
421,DC,DC12,100,24137,14750,1.53E-04,0.164138179,42
422,DC,DC12,100,24137,20382,1.66E-04,0.164151659,84
423,DC,DC12,100,26458,15910,3.30E-04,0.164314738,53
424,DC,DC12,100,26458,22239,2.81E-04,0.164266548,92
425,DC,DC12,100,28779,17071,3.95E-04,0.164380599,85
426,DC,DC12,100,28779,24095,2.54E-04,0.16423924,99
427,DC,DC12,200,27255,16309,5.08E-04,0.465676921,90
428,DC,DC12,200,27255,22876,3.89E-04,0.465557633,191
429,DC,DC12,200,28017,16690,4.88E-04,0.465657227,97
430,DC,DC12,200,28017,23486,4.09E-04,0.465578027,193
431,DC,DC12,200,28779,17071,3.87E-04,0.465555608,166
432,DC,DC12,200,28779,24095,3.66E-04,0.465535004,198
433,DC,DC12,500,27255,16048,6.83E-04,1.231204245,232
434,DC,DC12,500,27255,22772,5.89E-04,1.231110658,482
435,DC,DC12,500,28017,16429,7.33E-04,1.231254531,258
436,DC,DC12,500,28017,23381,6.90E-04,1.23121109,486
437,DC,DC12,500,28779,16810,6.87E-04,1.231208506,415
438,DC,DC12,500,28779,23991,5.62E-04,1.231083071,495
439,DC,DC12,1000,28779,16738,7.28E-04,2.947525035,826
440,DC,DC12,1000,28779,23962,7.42E-04,2.947539841,993
441,DC,DC12,1000,28779,16738,6.12E-04,2.947409238,826
