ID,NET,Instances,Scenarios,W,b,pulse,total,OF
888,DC,DC24,1000,74997,63012,10.25684019,13.15119303,1000
889,DC,DC25,1,1,7.22E-05,0.008953163,1,1
890,DC,DC25,10,51327,38363,0.01051251,0.02904196,1
891,DC,DC25,10,51327,46141,0.016512224,0.035041674,3
892,DC,DC25,10,54722,40060,0.00887536,0.02740481,3
893,DC,DC25,10,54722,48857,0.014281074,0.032810524,8
894,DC,DC25,10,58118,41758,0.005560483,0.024089933,5
895,DC,DC25,10,58118,51574,0.001560184,0.020089634,10
896,DC,DC25,50,61141,43088,0.1082023,0.199165677,9
897,DC,DC25,50,61141,53919,0.178346341,0.269309718,38
898,DC,DC25,50,64427,44731,0.027629838,0.118593215,24
899,DC,DC25,50,64427,56548,0.134116207,0.225079584,47
900,DC,DC25,50,67714,46374,0.027216378,0.118179755,30
901,DC,DC25,50,67714,59178,0.076105203,0.16706858,49
902,DC,DC25,100,61844,43439,0.136837782,0.325973901,17
903,DC,DC25,100,61844,54482,0.234486785,0.423622904,77
904,DC,DC25,100,64779,44907,0.042091593,0.231227712,46
905,DC,DC25,100,64779,56830,0.248317244,0.437453363,92
906,DC,DC25,100,67714,46374,0.048380171,0.23751629,56
907,DC,DC25,100,67714,59178,0.342101231,0.53123735,96
908,DC,DC25,200,64537,44373,0.083624036,0.499348311,71
909,DC,DC25,200,64537,56471,0.377436309,0.793160584,174
910,DC,DC25,200,66125,45167,0.142042982,0.557767257,76
911,DC,DC25,200,66125,57741,0.723719355,1.13944363,180
912,DC,DC25,200,67714,45961,0.104820236,0.520544511,93
913,DC,DC25,200,67714,59013,1.087793142,1.503517417,186
914,DC,DC25,500,67688,45391,0.297057587,1.454123219,187
915,DC,DC25,500,67688,58769,1.360805214,2.517870846,464
916,DC,DC25,500,68216,45655,0.321874078,1.47893971,191
917,DC,DC25,500,68216,59191,1.838785586,2.995851218,466
918,DC,DC25,500,68744,45919,0.21880616,1.375871792,225
919,DC,DC25,500,68744,59614,1.909826458,3.06689209,473
920,DC,DC25,1000,70433,46328,0.292054647,2.91443759,424
921,DC,DC25,1000,70433,60791,1.271110434,3.893493377,947
922,DC,DC25,1000,72748,47485,0.514805862,3.137188805,492
923,DC,DC25,1000,72748,62643,2.959228826,5.581611769,971
924,DC,DC25,1000,75063,48643,0.6020548,3.224437743,584
925,DC,DC25,1000,75063,64495,3.837014341,6.459397284,987
926,DC,DC26,1,1,5.43E-05,0.014201037,1,1
927,DC,DC26,10,48238,33657,0.004521384,0.022804783,1
928,DC,DC26,10,48238,42405,0.005696674,0.023980073,3
929,DC,DC26,10,52242,35659,0.028947744,0.047231143,2
930,DC,DC26,10,52242,45609,0.016186553,0.034469952,8
931,DC,DC26,10,56247,37662,0.055807581,0.07409098,4
932,DC,DC26,10,56247,48813,0.045926298,0.064209697,10
933,DC,DC26,50,54879,36978,0.056783404,0.139330208,4
934,DC,DC26,50,54879,47718,0.031985839,0.114532643,38
935,DC,DC26,50,55563,37320,0.034488532,0.117035336,11
936,DC,DC26,50,55563,48265,0.033842709,0.116389513,41
937,DC,DC26,50,56247,37662,0.006262808,0.088809612,17
938,DC,DC26,50,56247,48813,0.0305198,0.113066604,43
939,DC,DC26,100,58753,38915,0.21401491,0.389128507,18
940,DC,DC26,100,58753,50817,0.197371035,0.372484632,79
941,DC,DC26,100,61807,40442,0.017245069,0.192358666,48
942,DC,DC26,100,61807,53261,0.127518582,0.302632179,94
943,DC,DC26,100,64861,41969,0.018822574,0.193936171,56
944,DC,DC26,100,64861,55704,0.194534012,0.369647609,97
945,DC,DC26,200,62293,40685,0.237255783,0.64868461,44
946,DC,DC26,200,62293,53649,0.653613658,1.065042485,170
947,DC,DC26,200,64025,41551,0.119090625,0.530519452,83
948,DC,DC26,200,64025,55035,0.450982597,0.862411424,190
949,DC,DC26,200,65757,42417,0.061180612,0.472609439,107
950,DC,DC26,200,65757,56421,0.480733026,0.892161853,194
951,DC,DC26,500,62721,40899,0.256015499,1.367802611,139
952,DC,DC26,500,62721,53992,0.46435797,1.576145082,449
953,DC,DC26,500,64239,41658,0.258260198,1.37004731,221
954,DC,DC26,500,64239,55206,0.540361414,1.652148526,480
955,DC,DC26,500,65757,42417,0.120087399,1.231874511,275
956,DC,DC26,500,65757,56421,0.450724603,1.562511715,489
957,DC,DC26,1000,64401,41739,0.321814714,3.35458962,435
958,DC,DC26,1000,64401,55336,0.740320209,3.773095115,949
959,DC,DC26,1000,65079,42078,0.273367635,3.306142541,503
960,DC,DC26,1000,65079,55878,0.798396096,3.831171002,967
961,DC,DC26,1000,65757,42417,0.18956697,3.222341876,562
962,DC,DC26,1000,65757,56421,0.825711368,3.858486274,974
963,DC,DC27,1,1,8.09E-05,0.012634776,1,1
964,DC,DC27,10,34054,24643,1.18E-04,0.018345208,3
965,DC,DC27,10,34054,30289,1.04E-04,0.01833117,4
966,DC,DC27,10,34054,24643,7.65E-05,0.018303303,3
967,DC,DC27,10,34054,30289,8.45E-05,0.018311265,4
968,DC,DC27,10,34054,24643,5.75E-05,0.018284236,3
969,DC,DC27,10,34054,30289,8.33E-05,0.018310007,4
970,DC,DC27,50,39857,27453,1.98E-04,0.080672055,13
971,DC,DC27,50,39857,34895,1.22E-04,0.080595578,45
972,DC,DC27,50,45493,30271,2.36E-04,0.080710048,24
973,DC,DC27,50,45493,39404,2.02E-04,0.080675337,49
974,DC,DC27,50,51130,33089,2.35E-04,0.080709071,36
975,DC,DC27,50,51130,43913,5.28E-05,0.080526436,50
976,DC,DC27,100,48953,32001,4.66E-04,0.173623602,47
977,DC,DC27,100,48953,42172,0.001011093,0.174168365,92
978,DC,DC27,100,50825,32937,6.09E-04,0.173766497,60
979,DC,DC27,100,50825,43669,0.001002012,0.174159284,96
980,DC,DC27,100,52697,33873,4.46E-04,0.173603557,68
981,DC,DC27,100,52697,45167,8.57E-04,0.174014644,98
982,DC,DC27,200,49887,32468,0.001137645,0.463928098,93
983,DC,DC27,200,49887,42919,0.001942566,0.464733019,184
984,DC,DC27,200,51292,33170,0.001038052,0.463828505,118
985,DC,DC27,200,51292,44043,0.001146376,0.463936829,195
986,DC,DC27,200,52697,33873,8.48E-04,0.463638535,134
987,DC,DC27,200,52697,45167,0.001859804,0.464650257,195
988,DC,DC27,500,56657,35258,0.005102114,1.161736266,325
989,DC,DC27,500,56657,48097,0.016153101,1.172787253,492
990,DC,DC27,500,58001,35930,0.00352426,1.160158412,366
991,DC,DC27,500,58001,49172,0.013906796,1.170540948,493
992,DC,DC27,500,59345,36602,0.004093397,1.160727549,375
993,DC,DC27,500,59345,50247,0.015754237,1.172388389,495
994,DC,DC27,1000,56749,34392,0.007156217,2.542724006,565
995,DC,DC27,1000,56749,47806,0.015964041,2.55153183,982
996,DC,DC27,1000,58047,35041,0.009511544,2.545079333,644
997,DC,DC27,1000,58047,48844,0.030666119,2.566233908,987
998,DC,DC27,1000,59345,35690,0.009656954,2.545224743,715
999,DC,DC27,1000,59345,49883,0.027667833,2.563235622,990
1000,DC,DC28,1,1,4.46E-05,0.009944979,1,1
1001,DC,DC28,10,31368,23124,3.80E-04,0.022945653,2
1002,DC,DC28,10,31368,28070,1.98E-04,0.022763926,4
1003,DC,DC28,10,31915,23397,4.97E-05,0.022615304,5
1004,DC,DC28,10,31915,28508,2.25E-04,0.022790187,7
1005,DC,DC28,10,32463,23671,5.66E-05,0.022622288,5
1006,DC,DC28,10,32463,28946,1.85E-04,0.022750727,8
1007,DC,DC28,50,35555,24378,2.68E-04,0.095007675,13
1008,DC,DC28,50,35555,31084,2.96E-04,0.095036101,37
1009,DC,DC28,50,35791,24496,2.68E-04,0.095007815,13
1010,DC,DC28,50,35791,31273,3.14E-04,0.09505447,37
1011,DC,DC28,50,36028,24615,1.31E-04,0.094871415,22
1012,DC,DC28,50,36028,31462,2.69E-04,0.095009073,42
1013,DC,DC28,100,36028,24195,3.24E-04,0.206088764,38
1014,DC,DC28,100,36028,31295,2.63E-04,0.206027932,85
1015,DC,DC28,100,36028,24195,1.99E-04,0.205963328,38
1016,DC,DC28,100,36028,31295,2.52E-04,0.206016616,85
1017,DC,DC28,100,36028,24195,1.92E-04,0.205956484,38
1018,DC,DC28,100,36028,31295,2.56E-04,0.206020737,85
1019,DC,DC28,200,39438,24706,5.66E-04,0.427781115,80
1020,DC,DC28,200,39438,33545,0.001031486,0.428246676,182
1021,DC,DC28,200,39911,24942,4.21E-04,0.427636263,92
1022,DC,DC28,200,39911,33923,0.00103414,0.42824933,185
1023,DC,DC28,200,40385,25179,4.72E-04,0.427687458,97
1024,DC,DC28,200,40385,34302,0.001056978,0.428272168,188
1025,DC,DC28,500,47256,28615,0.013476713,1.079844367,327
1026,DC,DC28,500,47256,39799,0.013407919,1.079775573,495
1027,DC,DC28,500,48579,29276,0.005086401,1.071454055,369
1028,DC,DC28,500,48579,40858,0.00960164,1.075969294,497
1029,DC,DC28,500,49902,29938,0.001873912,1.068241566,397
1030,DC,DC28,500,49902,41916,0.002973423,1.069341077,499
1031,DC,DC28,1000,47256,28615,0.011120687,2.95708023,639
1032,DC,DC28,1000,47256,39799,0.0193262,2.965285743,984
1033,DC,DC28,1000,48579,29276,0.006368546,2.952328089,721
1034,DC,DC28,1000,48579,40858,0.013622751,2.959582294,991
1035,DC,DC28,1000,49902,29938,0.004232521,2.950192064,802
1036,DC,DC28,1000,49902,41916,0.008067086,2.954026629,996
1037,DC,DC29,1,1,2.74E-05,0.014012605,1,1
1038,DC,DC29,10,14012,9195,5.52E-05,0.020693133,7
1039,DC,DC29,10,14012,12085,4.60E-05,0.020683984,8
1040,DC,DC29,10,14012,9195,3.67E-05,0.020674626,7
1041,DC,DC29,10,14012,12085,3.79E-05,0.020675883,8
1042,DC,DC29,10,14012,9195,3.03E-05,0.020668271,7
1043,DC,DC29,10,14012,12085,3.64E-05,0.020674346,8
1044,DC,DC29,50,16378,10378,7.49E-05,0.083408018,29
1045,DC,DC29,50,16378,13978,7.26E-05,0.083405713,42
1046,DC,DC29,50,16378,10378,5.98E-05,0.083392862,29
1047,DC,DC29,50,16378,13978,6.33E-05,0.083396424,42
1048,DC,DC29,50,16378,10378,5.96E-05,0.083392653,29
1049,DC,DC29,50,16378,13978,6.58E-05,0.083398868,42
1050,DC,DC29,100,17596,10663,8.48E-05,0.187964044,61
1051,DC,DC29,100,17596,14822,5.73E-05,0.187936595,89
1052,DC,DC29,100,20531,12130,9.80E-05,0.187977243,74
1053,DC,DC29,100,20531,17170,1.06E-04,0.187985415,98
1054,DC,DC29,100,23467,13598,3.10E-04,0.188189072,84
1055,DC,DC29,100,23467,19519,1.93E-04,0.188072088,100
1056,DC,DC29,200,22502,13116,1.97E-04,0.377029414,155
1057,DC,DC29,200,22502,18747,1.33E-04,0.376965368,197
1058,DC,DC29,200,24631,14180,1.76E-04,0.377008321,165
1059,DC,DC29,200,24631,20450,1.78E-04,0.377010416,198
1060,DC,DC29,200,26760,15245,1.63E-04,0.376994563,182
1061,DC,DC29,200,26760,22154,2.68E-04,0.377099603,199
1062,DC,DC29,500,22502,12979,2.11E-04,1.160316116,376
1063,DC,DC29,500,22502,18693,2.13E-04,1.160318979,491
1064,DC,DC29,500,24631,14044,3.00E-04,1.160405442,412
1065,DC,DC29,500,24631,20396,2.47E-04,1.16035299,497
1066,DC,DC29,500,26760,15108,3.77E-04,1.160482687,450
1067,DC,DC29,500,26760,22099,2.52E-04,1.160357112,499
1068,DC,DC29,1000,26760,14456,6.90E-04,2.869217108,853
1069,DC,DC29,1000,26760,21838,0.00100362,2.869530626,990
1070,DC,DC29,1000,26760,14456,5.33E-04,2.869060315,853
1071,DC,DC29,1000,26760,21838,7.10E-04,2.869237222,990
1072,DC,DC29,1000,26760,14456,5.36E-04,2.869063178,853
1073,DC,DC29,1000,26760,21838,7.24E-04,2.869250772,990
1074,DC,DC30,1,1,4.14E-05,0.0141951,1,1
1075,DC,DC30,10,37905,27907,1.78E-04,0.019794624,2
1076,DC,DC30,10,37905,33905,1.61E-04,0.019778002,6
1077,DC,DC30,10,38011,27960,1.74E-04,0.019791062,2
1078,DC,DC30,10,38011,33990,1.56E-04,0.019772554,6
1079,DC,DC30,10,38117,28013,9.62E-05,0.019713119,3
1080,DC,DC30,10,38117,34075,9.60E-05,0.01971298,7
1081,DC,DC30,50,39154,27655,1.15E-04,0.084498309,21
1082,DC,DC30,50,39154,34554,1.50E-04,0.08453281,42
1083,DC,DC30,50,39154,27655,9.77E-05,0.084480709,21
1084,DC,DC30,50,39154,34554,1.35E-04,0.084518144,42
1085,DC,DC30,50,39154,27655,7.47E-05,0.084457732,21
1086,DC,DC30,50,39154,34554,4.95E-04,0.084878176,42
1087,DC,DC30,100,41812,28984,1.42E-04,0.18510097,45
1088,DC,DC30,100,41812,36680,2.62E-04,0.185221655,88
1089,DC,DC30,100,41812,28984,1.35E-04,0.185094265,45
1090,DC,DC30,100,41812,36680,1.98E-04,0.185157121,88
1091,DC,DC30,100,41812,28984,1.29E-04,0.185088886,45
1092,DC,DC30,100,41812,36680,2.24E-04,0.185183382,88
1093,DC,DC30,200,49796,32976,3.85E-04,0.370526143,145
1094,DC,DC30,200,49796,43068,7.42E-04,0.370883311,196
1095,DC,DC30,200,49796,32976,3.53E-04,0.370493876,145
1096,DC,DC30,200,49796,43068,6.53E-04,0.370793984,196
1097,DC,DC30,200,49796,32976,3.47E-04,0.37048787,145
1098,DC,DC30,200,49796,43068,6.51E-04,0.37079154,196
1099,DC,DC30,500,52555,33277,0.003792592,1.070856912,373
1100,DC,DC30,500,52555,44844,0.004528229,1.071592549,490
1101,DC,DC30,500,53161,33580,0.002902254,1.069966574,379
1102,DC,DC30,500,53161,45328,0.004931213,1.071995533,490
1103,DC,DC30,500,53767,33883,7.50E-04,1.067814136,384
1104,DC,DC30,500,53767,45813,0.002949118,1.070013438,492
1105,DC,DC30,1000,53870,33935,0.007987887,3.068826555,618
1106,DC,DC30,1000,53870,45896,0.008681759,3.069520427,979
1107,DC,DC30,1000,57674,35837,0.018900796,3.079739464,729
1108,DC,DC30,1000,57674,48939,0.020273737,3.081112405,992
1109,DC,DC30,1000,61479,37739,0.002164522,3.06300319,894
1110,DC,DC30,1000,61479,51983,0.017854992,3.07869366,996
1111,RI,RI1,1,1,0.001308686,0.184900665,1,1
1112,RI,RI1,10,48156,30778,0.002422165,0.595219504,1
1113,RI,RI1,10,48156,41204,0.006072699,0.598870038,2
1114,RI,RI1,10,52931,33165,0.001241778,0.594039117,2
1115,RI,RI1,10,52931,45024,0.001136108,0.593933447,8
1116,RI,RI1,10,57707,35553,0.00196701,0.594764349,2
1117,RI,RI1,10,57707,48845,3.01E-04,0.593098773,10
1118,RI,RI1,50,57701,35550,0.008326059,0.772091147,1
1119,RI,RI1,50,57701,48840,0.006563893,0.770328981,28
1120,RI,RI1,50,68916,41158,0.00310668,0.766871768,18
1121,RI,RI1,50,68916,57812,0.002790509,0.766555597,50
1122,RI,RI1,50,80131,46765,0.007662567,0.771427655,32
1123,RI,RI1,50,80131,66784,1.31E-04,0.763895622,50
1124,RI,RI1,100,61357,37378,0.009706681,1.680411128,5
1125,RI,RI1,100,61357,51765,0.012715932,1.683420379,61
1126,RI,RI1,100,70744,42072,0.006988878,1.677693325,34
1127,RI,RI1,100,70744,59275,0.013577005,1.684281452,98
1128,RI,RI1,100,80131,46765,0.010700313,1.68140476,56
1129,RI,RI1,100,80131,66784,2.37E-04,1.670941418,100
1130,RI,RI1,200,64585,38992,0.007915879,3.411008451,28
1131,RI,RI1,200,64585,54348,0.031688176,3.434780748,165
1132,RI,RI1,200,72358,42879,0.014785119,3.417877691,67
1133,RI,RI1,200,72358,60566,0.029736112,3.432828684,196
1134,RI,RI1,200,80131,46765,0.013380262,3.416472834,118
1135,RI,RI1,200,80131,66784,0.002854691,3.405947263,200
1136,RI,RI1,500,66816,40108,0.028716918,8.60108743,102
1137,RI,RI1,500,66816,56132,0.046685891,8.619056403,455
1138,RI,RI1,500,73473,43436,0.032171337,8.604541849,201
1139,RI,RI1,500,73473,61458,0.094530379,8.666900891,490
1140,RI,RI1,500,80131,46765,0.040047897,8.612418409,297
1141,RI,RI1,500,80131,66784,0.066644434,8.639014946,499
1142,RI,RI1,1000,67186,40293,0.030267325,19.05282718,183
1143,RI,RI1,1000,67186,56428,0.078525064,19.10108491,922
1144,RI,RI1,1000,75356,44378,0.100210991,19.12277084,436
1145,RI,RI1,1000,75356,62964,0.244204011,19.26676386,986
1146,RI,RI1,1000,83527,48463,0.075047597,19.09760745,679
1147,RI,RI1,1000,83527,69501,0.031638239,19.05419809,1000
1148,RI,RI2,1,1,1.24E-04,0.068703564,1,1
1149,RI,RI2,10,71596,55633,0.023835013,0.143462716,0
1150,RI,RI2,10,71596,65211,0.021947482,0.141575185,5
1151,RI,RI2,10,76970,58320,0.004950838,0.124578541,4
1152,RI,RI2,10,76970,69510,0.025835337,0.14546304,9
1153,RI,RI2,10,82345,61008,0.009158218,0.128785921,5
1154,RI,RI2,10,82345,73810,1.68E-04,0.119795951,10
1155,RI,RI2,50,80004,59094,0.443193199,1.132057985,7
1156,RI,RI2,50,80004,71640,0.472822524,1.16168731,35
1157,RI,RI2,50,81174,59679,0.116374986,0.805239772,17
1158,RI,RI2,50,81174,72576,0.383158056,1.072022842,42
1159,RI,RI2,50,82345,60264,0.111324693,0.800189479,19
1160,RI,RI2,50,82345,73512,0.404234197,1.093098983,44
1161,RI,RI2,100,80408,59248,0.334551668,1.694444476,12
1162,RI,RI2,100,80408,71944,0.448564623,1.808457431,69
1163,RI,RI2,100,86249,62168,0.239584919,1.599477727,48
1164,RI,RI2,100,86249,76616,0.590573382,1.95046619,96
1165,RI,RI2,100,92091,65089,0.294761345,1.654654153,64
1166,RI,RI2,100,92091,81290,0.090690367,1.450583175,100
1167,RI,RI2,200,82936,57103,0.508490533,3.540182131,41
1168,RI,RI2,200,82936,72603,0.679488035,3.711179633,164
1169,RI,RI2,200,90790,61030,0.730855387,3.762546985,83
1170,RI,RI2,200,90790,78886,1.338609866,4.370301464,196
1171,RI,RI2,200,98644,64957,0.704307042,3.73599864,128
1172,RI,RI2,200,98644,85169,0.221541635,3.253233233,200
1173,RI,RI2,500,89001,60136,5.897978374,14.17267802,135
1174,RI,RI2,500,89001,77455,6.183358919,14.45805857,436
1175,RI,RI2,500,93822,62546,1.573660898,9.848360545,229
1176,RI,RI2,500,93822,81311,6.576311515,14.85101116,489
1177,RI,RI2,500,98644,64957,1.842689364,10.11738901,293
1178,RI,RI2,500,98644,85169,6.440586304,14.71528595,499
1179,RI,RI2,1000,90196,60733,5.532574253,25.99909975,326
1180,RI,RI2,1000,90196,78411,8.85829456,29.32482005,930
1181,RI,RI2,1000,94420,62845,2.65616468,23.12269017,480
1182,RI,RI2,1000,94420,81790,17.92817069,38.39469618,974
1183,RI,RI2,1000,98644,64957,3.22186046,23.68838595,590
1184,RI,RI2,1000,98644,85169,20.68275095,41.14927645,993
1185,RI,RI3,1,1,3.46E-04,0.085687497,1,1
1186,RI,RI3,10,43043,31498,4.87E-04,0.154513072,1
1187,RI,RI3,10,43043,38425,3.59E-04,0.154384846,3
1188,RI,RI3,10,49012,34483,5.56E-04,0.154581518,5
1189,RI,RI3,10,49012,43200,1.85E-04,0.15421101,10
1190,RI,RI3,10,54981,37467,3.87E-04,0.154412921,7
1191,RI,RI3,10,54981,47975,7.36E-05,0.154099194,10
1192,RI,RI3,50,54903,37428,0.002633366,0.67342707,6
1193,RI,RI3,50,54903,47913,0.003336249,0.674129953,29
1194,RI,RI3,50,55815,37884,0.003148236,0.67394194,8
1195,RI,RI3,50,55815,48642,0.00493261,0.675726314,31
1196,RI,RI3,50,56728,38341,0.003149772,0.673943476,20
1197,RI,RI3,50,56728,49373,0.006130737,0.676924441,44
1198,RI,RI3,100,59989,39971,0.018569329,1.683376449,16
1199,RI,RI3,100,59989,51982,0.020646549,1.685453669,79
1200,RI,RI3,100,62909,41431,0.017742618,1.682549738,37
1201,RI,RI3,100,62909,54318,0.026194321,1.691001441,93
1202,RI,RI3,100,65829,42891,0.014751595,1.679558715,65
1203,RI,RI3,100,65829,56654,0.025080631,1.689887751,98
1204,RI,RI3,200,62492,41223,0.03822099,3.139133676,76
1205,RI,RI3,200,62492,53984,0.057611791,3.158524477,176
1206,RI,RI3,200,64160,42057,0.063326485,3.164239171,119
1207,RI,RI3,200,64160,55318,0.089633248,3.190545934,192
1208,RI,RI3,200,65829,42891,0.041942551,3.142855237,130
1209,RI,RI3,200,65829,56654,0.053594521,3.154507207,197
1210,RI,RI3,500,63138,40047,0.059152211,8.336185116,150
1211,RI,RI3,500,63138,53901,0.071391475,8.34842438,462
1212,RI,RI3,500,68712,42834,0.060453353,8.337486258,298
1213,RI,RI3,500,68712,58361,0.114704452,8.391737357,493
1214,RI,RI3,500,74287,45622,0.066670693,8.343703598,379
1215,RI,RI3,500,74287,62821,0.122332238,8.399365143,499
1216,RI,RI3,1000,66647,41802,0.121527178,20.2722596,379
1217,RI,RI3,1000,66647,56709,0.210085639,20.36081806,950
1218,RI,RI3,1000,70467,43712,0.142658354,20.29339078,597
1219,RI,RI3,1000,70467,59765,0.336943941,20.48767637,985
1220,RI,RI3,1000,74287,45622,0.132793693,20.28352612,733
1221,RI,RI3,1000,74287,62821,0.433541484,20.58427391,996
1222,RI,RI4,1,1,2.88E-04,0.081669527,1,1
1223,RI,RI4,10,34856,24760,5.13E-04,0.12406074,1
1224,RI,RI4,10,34856,30817,3.59E-04,0.123906462,1
1225,RI,RI4,10,37248,25956,7.45E-04,0.124292894,1
1226,RI,RI4,10,37248,32731,4.78E-04,0.124025192,8
1227,RI,RI4,10,39640,27152,4.96E-04,0.124044119,3
1228,RI,RI4,10,39640,34644,5.13E-04,0.12406116,9
1229,RI,RI4,50,42382,28523,0.00167214,0.714988846,7
1230,RI,RI4,50,42382,36838,0.001459822,0.714776528,41
1231,RI,RI4,50,42902,28783,0.001587283,0.714903989,10
1232,RI,RI4,50,42902,37254,0.001678007,0.714994713,42
1233,RI,RI4,50,43422,29043,0.001377829,0.714694535,14
1234,RI,RI4,50,43422,37670,0.001821252,0.715137958,43
1235,RI,RI4,100,43549,29106,0.00257896,1.559284211,23
1236,RI,RI4,100,43549,37772,0.002722064,1.559427315,79
1237,RI,RI4,100,45374,30019,0.002746578,1.559451829,34
1238,RI,RI4,100,45374,39232,0.004150457,1.560855708,88
1239,RI,RI4,100,47199,30931,0.003417893,1.560123144,42
1240,RI,RI4,100,47199,40692,0.004456991,1.561162242,94
1241,RI,RI4,200,46476,30570,0.006281664,3.476949375,62
1242,RI,RI4,200,46476,40113,0.007772637,3.478440348,172
1243,RI,RI4,200,46837,30750,0.006112927,3.476780638,65
1244,RI,RI4,200,46837,40402,0.008353296,3.479021007,175
1245,RI,RI4,200,47199,30931,0.007474413,3.478142124,72
1246,RI,RI4,200,47199,40692,0.008416991,3.479084702,184
1247,RI,RI4,500,50722,31641,0.028479318,8.925545147,174
1248,RI,RI4,500,50722,43089,0.034715795,8.931781624,469
1249,RI,RI4,500,51676,32118,0.026138307,8.923204136,195
1250,RI,RI4,500,51676,43852,0.038376666,8.935442495,477
1251,RI,RI4,500,52631,32595,0.021444206,8.918510035,248
1252,RI,RI4,500,52631,44616,0.033499719,8.930565548,487
1253,RI,RI4,1000,52631,32595,0.033856957,20.96910438,511
1254,RI,RI4,1000,52631,44616,0.058267181,20.99351461,977
1255,RI,RI4,1000,52631,32595,0.034998792,20.97024622,511
1256,RI,RI4,1000,52631,44616,0.057284166,20.99253159,977
1257,RI,RI4,1000,52631,32595,0.033537642,20.96878507,511
1258,RI,RI4,1000,52631,44616,0.054798654,20.99004608,977
1259,RI,RI5,1,1,6.33E-04,0.087659604,1,1
1260,RI,RI5,10,64199,46799,0.006110134,0.18880123,1
1261,RI,RI5,10,64199,57239,0.019245253,0.201936349,3
1262,RI,RI5,10,66536,47967,0.002109697,0.184800793,3
1263,RI,RI5,10,66536,59108,0.022151349,0.204842445,6
1264,RI,RI5,10,68874,49136,0.002682673,0.185373769,3
1265,RI,RI5,10,68874,60979,0.015468656,0.198159752,8
1266,RI,RI5,50,70158,49778,0.019936612,0.874272637,5
1267,RI,RI5,50,70158,62006,0.02485253,0.879188555,31
1268,RI,RI5,50,71930,50664,0.017193456,0.871529481,13
1269,RI,RI5,50,71930,63423,0.033842151,0.888178176,40
1270,RI,RI5,50,73703,51551,0.020221914,0.874557939,15
1271,RI,RI5,50,73703,64842,0.060317792,0.914653817,42
1272,RI,RI5,100,72512,50955,0.090707059,1.52806062,14
1273,RI,RI5,100,72512,63889,0.097470139,1.5348237,74
1274,RI,RI5,100,73107,51253,0.121457615,1.558811176,18
1275,RI,RI5,100,73107,64365,0.131233509,1.56858707,80
1276,RI,RI5,100,73703,51551,0.14379977,1.581153331,20
1277,RI,RI5,100,73703,64842,0.118586161,1.555939722,86
1278,RI,RI5,200,77208,53303,0.456894801,3.240115643,32
1279,RI,RI5,200,77208,67646,0.578586944,3.361807786,167
1280,RI,RI5,200,78863,54131,0.500751701,3.283972543,51
1281,RI,RI5,200,78863,68970,0.698667429,3.481888271,182
1282,RI,RI5,200,80518,54958,0.360357042,3.143577884,82
1283,RI,RI5,200,80518,70294,0.733385808,3.51660665,193
1284,RI,RI5,500,79725,54562,0.87248079,8.77180347,99
1285,RI,RI5,500,79725,69659,0.966390002,8.865712682,427
1286,RI,RI5,500,80121,54760,0.7034804,8.60280308,142
1287,RI,RI5,500,80121,69976,0.958074908,8.857397588,464
1288,RI,RI5,500,80518,54958,0.635682328,8.535005008,198
1289,RI,RI5,500,80518,70294,0.983348512,8.882671192,477
1290,RI,RI5,1000,80983,55191,1.13096036,20.83564392,227
1291,RI,RI5,1000,80983,70666,1.304820725,21.00950428,913
1292,RI,RI5,1000,82488,55943,1.458054166,21.16273772,397
1293,RI,RI5,1000,82488,71870,2.304271771,22.00895533,956
1294,RI,RI5,1000,83994,56696,1.222086816,20.92677037,486
1295,RI,RI5,1000,83994,73075,2.659001144,22.3636847,977
1296,RI,RI6,1,1,3.62E-04,0.083729636,1,1
1297,RI,RI6,10,60759,48094,0.003923334,0.139809599,0
1298,RI,RI6,10,60759,55693,0.004948953,0.140835218,1
1299,RI,RI6,10,66419,50924,0.006445163,0.142331428,3
1300,RI,RI6,10,66419,60221,0.00921835,0.145104615,9
1301,RI,RI6,10,72080,53754,0.007184503,0.143070768,5
1302,RI,RI6,10,72080,64749,0.009378706,0.145264971,10
1303,RI,RI6,50,75314,55371,0.364971665,1.152517917,11
1304,RI,RI6,50,75314,67337,0.475879476,1.263425728,42
1305,RI,RI6,50,79862,57645,0.185219699,0.972765951,25
1306,RI,RI6,50,79862,70975,0.700248355,1.487794607,49
1307,RI,RI6,50,84411,59920,0.105751918,0.89329817,31
1308,RI,RI6,50,84411,74614,1.295260571,2.082806823,49
1309,RI,RI6,100,78878,56906,1.154049118,2.86900884,30
1310,RI,RI6,100,78878,70089,1.734406608,3.44936633,88
1311,RI,RI6,100,81644,58289,1.082600722,2.797560444,54
1312,RI,RI6,100,81644,72302,3.880394576,5.595354298,91
1313,RI,RI6,100,84411,59672,0.181166531,1.896126253,60
1314,RI,RI6,100,84411,74515,2.620202847,4.335162569,96
1315,RI,RI6,200,81656,56642,2.363575679,5.313368181,88
1316,RI,RI6,200,81656,71650,4.139814278,7.08960678,182
1317,RI,RI6,200,83390,57509,5.564155919,8.513948421,98
1318,RI,RI6,200,83390,73037,8.53253528,11.48232778,185
1319,RI,RI6,200,85125,58376,0.239728234,3.189520736,109
1320,RI,RI6,200,85125,74425,2.935611229,5.885403731,193
1321,RI,RI6,500,85125,58127,0.345003765,9.827815965,264
