"Instance,",Q,"Pulse Mean (w1,b1)","Pulse Mean (w1,b2)","Pulse Mean (w2,b1)","Pulse Mean (w2,b2)","Pulse Mean (w3,b1)","Pulse Mean (w3,b2)","Pulse SD (w1,b1)","Pulse SD (w1,b2)","Pulse SD (w2,b1)","Pulse SD (w2,b2)","Pulse SD (w3,b1)","Pulse SD (w3,b2)","Total Mean (w1,b1)","Total Mean (w1,b2)","Total Mean (w2,b1)","Total Mean (w2,b2)","Total Mean (w3,b1)","Total Mean (w3,b2)","Total SD (w1,b1)","Total SD (w1,b2)","Total SD (w2,b1)","Total SD (w2,b2)","Total SD (w3,b1)","Total SD (w3,b2)",VarCoeff,,,,,,
14,500,0.0265868,0.0372738,0.042721,0.0853214,0.0219844,0.1038399,0.001930108,0.003599985,0.003358785,0.005687572,0.001102,0.004973427,9.8705867,10.4282738,9.480721,11.5223213,10.0379844,8.7758399,0.001930029,0.003599985,0.003358785,0.005687625,0.001102,0.004973427,,,,,,,
14,1000,0.0282682,0.0345107,0.0391239,0.0804283,0.022326,0.1059531,0.002823163,0.001183248,0.002138557,0.004395083,0.001023299,0.005502682,9.8722682,10.4255107,9.4771239,11.5174282,10.038326,8.7779531,0.002823163,0.001183248,0.002138557,0.00439517,0.001023299,0.005502682,0.000285969,0.000113495,0.000225655,0.00038161,0.000101939,0.000626875,0.000289257
14,1500,0.024703,0.0344532,0.0433093,0.083623,0.026528,0.10393,0.001328586,0.002175299,0.002767101,0.003612858,0.002867748,0.006339429,9.868703,10.4254532,9.4813093,11.520623,10.042528,8.77593,0.001328586,0.002175299,0.002767101,0.003612858,0.002867748,0.006339429,,,,,,,
15,500,1.8799257,7.0412139,1.2355532,10.2749264,0.8803738,8.2850215,0.06568907,0.108247348,0.059461611,0.165092891,0.046324374,0.109790124,11.3649257,16.5412139,12.7825532,22.0559264,14.0833737,18.0660215,0.06568907,0.108247348,0.059461611,0.165092891,0.046324211,0.109790124,,,,,,,
15,1000,1.8849163,7.5488714,1.2410417,11.1706874,0.8498886,9.1743732,0.043460905,0.162323745,0.032191737,0.156843273,0.028511604,0.159766139,11.3699163,17.0488714,12.7880417,22.9516874,14.0528885,18.9553732,0.043460905,0.162323745,0.032191737,0.156843273,0.028511444,0.159766139,0.003822447,0.009521084,0.002517331,0.006833627,0.002028867,0.008428541,0.005525316
15,1500,1.9214647,7.8025254,1.268376,11.9245958,0.8580088,9.5118548,0.058760176,0.074266821,0.034785996,0.169078906,0.023669504,0.111164813,11.4064646,17.3025254,12.815376,23.7055958,14.0610088,19.2928548,0.058760337,0.074266821,0.034785996,0.169078906,0.023669504,0.111164813,,,,,,,
16,500,0.1790281,0.4697948,0.4082991,0.9027218,0.2550446,1.3954591,0.005914146,0.013129283,0.014287067,0.01505746,0.011854365,0.04497913,8.7570281,11.6577948,9.6732991,9.1687218,10.2400446,11.2234591,0.005914146,0.013129283,0.014287067,0.01505746,0.011854365,0.04497913,,,,,,,
16,1000,0.1782545,0.4623728,0.4109452,0.9196622,0.2521049,1.3895296,0.007381921,0.019200589,0.013502099,0.019149487,0.016705632,0.034273663,8.7562545,11.6503728,9.6759452,9.1856622,10.2371049,11.2175296,0.007381921,0.019200589,0.013502099,0.019149487,0.016705632,0.034273663,0.000843046,0.001648066,0.001395429,0.002084715,0.001631871,0.003055366,0.001776416
16,1500,0.1754335,0.447615,0.4289442,0.9048852,0.2440778,1.3796638,0.010420463,0.01249114,0.022241382,0.022734036,0.008643792,0.051355403,8.7534333,11.635615,9.6939442,9.1708852,10.2290778,11.2076638,0.010420552,0.01249114,0.022241382,0.022734036,0.008643792,0.051355403,,,,,,,
17,500,0.0925667,0.0862019,0.0634297,0.095989,0.03876,0.0623649,0.00623146,0.004176913,0.005950155,0.009277019,0.003155598,0.003383408,9.8425667,9.3202019,9.1254297,9.159989,8.99176,9.4833649,0.00623146,0.004176913,0.005950155,0.009277019,0.003155598,0.003383408,,,,,,,
17,1000,0.0915821,0.0911202,0.06584,0.0900523,0.0348128,0.0557298,0.006766929,0.01142766,0.003038403,0.00304734,0.002080593,0.002802441,9.8415821,9.3251202,9.12784,9.1540523,8.9878128,9.4767298,0.006766929,0.01142766,0.003038403,0.00304734,0.002080593,0.002802441,0.000687585,0.001225471,0.000332872,0.000332895,0.000231491,0.000295718,0.000517672
17,1500,0.0969023,0.0939961,0.0596272,0.085707,0.0386665,0.0611238,0.00960409,0.005526531,0.002787963,0.004714321,0.003149546,0.002115911,9.8469023,9.3279961,9.121627,9.149707,8.9916665,9.4821238,0.00960409,0.005526531,0.00278761,0.004714321,0.003149546,0.002115911,,,,,,,
18,500,0.2854044,0.3434355,0.3765668,0.443419,0.3643834,0.5067114,0.014879182,0.016715541,0.013363035,0.025395623,0.020110661,0.012209117,9.0044044,9.0304354,9.4705668,13.224419,10.9103834,10.2567114,0.014879182,0.016715618,0.013363035,0.025395623,0.020110661,0.012209117,,,,,,,
18,1000,0.2877363,0.3366251,0.3839217,0.4626205,0.3430311,0.4998195,0.014523104,0.018405037,0.010799317,0.032182174,0.020247207,0.023484954,9.0067362,9.0236251,9.4779217,13.2436205,10.889031,10.2498195,0.01452303,0.018405037,0.010799317,0.032182174,0.020247228,0.023484954,0.001612463,0.00203965,0.001139418,0.002430013,0.001859415,0.002291255,0.001895369
18,1500,0.2803464,0.3261233,0.3799363,0.4421833,0.3581277,0.5120477,0.013368582,0.015536627,0.009921768,0.015335436,0.026901634,0.023730601,8.9993464,9.0131233,9.4739363,13.2231833,10.9041277,10.2620477,0.013368582,0.015536627,0.009921768,0.015335436,0.026901634,0.023730601,,,,,,,
19,500,0.2689954,0.7604811,0.3097758,0.6518948,0.3220477,0.8343039,0.008539593,0.045869983,0.013399117,0.031722569,0.014279812,0.036688657,8.7219954,9.7134809,9.2937758,10.4018948,11.4160476,11.7243039,0.008539593,0.045869934,0.013399117,0.031722569,0.014279957,0.036688657,,,,,,,
19,1000,0.2706188,0.8081283,0.3007663,0.6509024,0.3439478,0.8505823,0.015936423,0.029082836,0.017702095,0.032147806,0.019283023,0.041028997,8.7236188,9.7611283,9.2847663,10.4009024,11.4379478,11.7405823,0.015936423,0.029082836,0.017702095,0.032147806,0.019283023,0.041028997,0.001826813,0.002979454,0.001906574,0.003090867,0.001685881,0.003494631,0.00249737
19,1500,0.3052006,0.7858464,0.3029642,0.6404892,0.3348367,0.8362819,0.028563702,0.037558015,0.013496863,0.033478673,0.013622776,0.025540482,8.7582005,9.7388463,9.2869642,10.3904892,11.4288367,11.7262819,0.02856361,0.037557944,0.013496863,0.033478673,0.013622776,0.025540482,,,,,,,
20,500,0.0159,0.0303919,0.0205894,0.0299773,0.0190631,0.0362952,0.001142347,0.001785823,0.001533699,0.002123006,0.001220857,0.001764058,8.7029,8.8743918,10.7555894,10.3259772,9.9100631,9.8482952,0.001142347,0.001785895,0.001533699,0.002123004,0.001220857,0.001764058,,,,,,,
20,1000,0.0157715,0.0292036,0.0212342,0.030088,0.0197376,0.0366897,0.001133972,0.000900872,0.001279692,0.001578167,0.00087452,0.002239243,8.7027715,8.8732036,10.7562341,10.326088,9.9107376,9.8486897,0.001133972,0.000900872,0.001279776,0.001578167,0.00087452,0.002239243,0.0001303,0.000101527,0.00011898,0.000152833,8.82396E-05,0.000227365,0.000136541
20,1500,0.0155807,0.0301985,0.0207913,0.0310831,0.0190878,0.0364607,0.000762818,0.002125886,0.001083886,0.00207537,0.000731873,0.002032687,8.7025806,8.8741985,10.7557913,10.3270831,9.9100878,9.8484607,0.000762628,0.002125886,0.001083886,0.00207537,0.000731873,0.002032687,,,,,,,
21,500,1.1834429,1.364519,0.7065519,1.2383564,0.7448948,1.3806871,0.040270359,0.04351642,0.03798515,0.038987393,0.028119295,0.034495939,11.6844428,12.146519,10.0505519,10.0513564,11.4788948,11.2246871,0.040270415,0.04351642,0.03798515,0.038987393,0.028119295,0.034495939,,,,,,,
21,1000,1.1938568,1.3966241,0.6875508,1.3126988,0.7546281,1.4649828,0.037332766,0.034540865,0.02466812,0.04341282,0.037646438,0.041083341,11.6948568,12.1786241,10.0315508,10.1256988,11.4886281,11.3089827,0.037332766,0.034540865,0.02466812,0.04341282,0.037646438,0.041083234,0.003192238,0.002836188,0.002459053,0.00428739,0.003276844,0.003632797,0.003280752
21,1500,1.2128898,1.4273427,0.6890946,1.3226757,0.7411054,1.4866939,0.042861045,0.030429892,0.038613414,0.04988893,0.021374714,0.037693406,11.7138898,12.2093427,10.0330946,10.1356757,11.4751054,11.3306938,0.042861045,0.030429892,0.038613414,0.04988893,0.021374714,0.037693369,,,,,,,
22,500,0.097617,0.2124384,0.1060938,0.1220371,0.0391523,0.0691396,0.004766742,0.005785884,0.005435721,0.005544458,0.003835658,0.004854352,8.362617,8.7284384,8.8090938,7.9820371,11.0231523,8.6941396,0.004766742,0.005785884,0.005435721,0.005544458,0.003835658,0.004854352,,,,,,,
22,1000,0.0961207,0.2191336,0.1070382,0.1285211,0.0397032,0.0622474,0.005682127,0.015750734,0.00503511,0.002352132,0.001357775,0.002514779,8.3611207,8.7351336,8.8100382,7.9885211,11.0237032,8.6872474,0.005682127,0.015750734,0.00503511,0.002352132,0.001357775,0.002514779,0.000679589,0.001803147,0.00057152,0.000294439,0.000123169,0.000289479,0.000626891
22,1500,0.0955363,0.212781,0.1050524,0.1213671,0.0425839,0.0702335,0.007466513,0.011474773,0.012092688,0.005530301,0.00393365,0.013122694,8.3605363,8.728781,8.8080523,7.9813671,11.0265839,8.6952335,0.007466513,0.011474773,0.01209243,0.005530301,0.00393365,0.013122694,,,,,,,
23,500,0.1172001,0.1136279,0.0493468,0.1151096,0.0437784,0.1064121,0.006334785,0.006186138,0.003055461,0.007508384,0.002390365,0.006274892,10.7272001,10.3476279,8.6143467,10.3651096,11.9187784,8.8414121,0.006334785,0.006186138,0.003055525,0.007508384,0.002390365,0.006274892,,,,,,,
23,1000,0.1169238,0.1147623,0.0566583,0.1233646,0.0398793,0.1099949,0.008997634,0.007849021,0.013910986,0.005573942,0.001607345,0.010060935,10.7269238,10.3487623,8.6216582,10.3733646,11.9148793,8.8449949,0.008997634,0.007849021,0.01391105,0.005573942,0.001607345,0.010060935,0.00083879,0.00075845,0.001613501,0.000537332,0.000134902,0.001137472,0.000836741
